Date,Close,Volume,EMA10,EMA50,EMA100,ROC12,ROC24,Name,AUD,CAD,EUR,GBP,USD,JPY,JPXGY,NASDAQ,NIKKEI,NYSE,SSE,GOLD,OIL,SILVER
6/9/2015,28.95,140255,,,,,,ENX,1.3,1.24,1.13,1.53,95.17,124.56,7.65,5013.87,20096.3,10915.64,5113.53,1177.6,60.14,15.96
6/10/2015,28.92,245288,,,,,,ENX,1.3,1.23,1.13,1.54,94.65,124.34,7.4,5076.69,20046.36,11057.99,5106.04,1186.6,61.43,15.96
6/11/2015,29.57,134151,,,,,,ENX,1.29,1.23,1.13,1.55,94.98,122.87,7.45,5082.51,20382.97,11080.51,5121.59,1180.4,60.77,15.96
6/12/2015,28.47,90877,,,,,,ENX,1.29,1.23,1.12,1.55,94.97,123.58,7.42,5051.1,20407.08,11009.91,5166.35,1179.2,59.96,15.83
6/15/2015,28.12,89958,,,,,,ENX,1.29,1.23,1.12,1.56,94.81,123.29,7.56,5029.97,20387.79,10949.54,5062.99,1185.8,59.52,16.08
6/16/2015,28.21,178249,,,,,,ENX,1.29,1.23,1.13,1.56,95,123.42,7.5,5055.55,20257.94,10997.66,4887.43,1180.9,59.97,15.97
6/17/2015,27.92,217935,,,,,,ENX,1.29,1.23,1.12,1.56,94.3,123.44,7.6,5064.88,20219.27,11013.66,4967.9,1176.8,59.92,15.95
6/18/2015,28.24,109431,,,,,,ENX,1.29,1.22,1.14,1.58,94.04,123.53,7.73,5132.95,19990.82,11100.47,4785.36,1202,60.45,16.15
6/19/2015,28.64,104144,,,,,,ENX,1.28,1.22,1.14,1.59,94.09,123,7.8,5117,20174.24,11038.96,4478.36,1201.9,59.61,16.11
6/23/2015,29.98,93175,28.702,,,,,ENX,1.29,1.23,1.13,1.58,95.43,123.38,8.03,5160.09,20809.42,11149.36,4576.49,1176.6,61.01,15.74
6/24/2015,29.9,63761,28.91981818,,,,,ENX,1.29,1.23,1.12,1.57,95.26,123.86,8.3,5122.41,20868.03,11066.14,4690.15,1172.9,60.27,15.85
6/25/2015,30.07,61137,29.12894215,,,-3.724642501,,ENX,1.3,1.24,1.12,1.57,95.19,123.85,7.99,5112.19,20771.4,11035.73,4527.78,1171.8,59.7,15.81
6/26/2015,30.59,117801,29.39458903,,,-5.459300425,,ENX,1.29,1.23,1.12,1.57,95.47,123.6,8.2,5080.51,20706.15,11040.31,4192.87,1173.2,59.63,15.77
6/29/2015,28.44,265717,29.22102739,,,3.973277075,,ENX,1.31,1.24,1.1,1.57,94.79,122.61,7.94,4958.47,20109.95,10790.33,4053.03,1179,58.33,15.7
6/30/2015,27.98,120221,28.99538605,,,1.751250893,,ENX,1.3,1.24,1.12,1.57,95.49,122.67,8.13,4986.87,20235.73,10805.2,4277.22,1171.8,59.47,15.58
7/1/2015,28.61,192587,28.92531586,,,-1.712687871,,ENX,1.3,1.25,1.11,1.57,96.31,122.39,8.31,5013.12,20329.32,10858.99,4053.7,1169.3,56.96,15.58
7/2/2015,29.7,81286,29.06616752,,,-5.016835017,,ENX,1.31,1.26,1.1,1.56,96.11,123.32,8.52,5009.21,20522.5,10864.82,3912.77,1163.5,56.93,15.56
7/6/2015,29.08,88458,29.06868251,,,-3.988995873,,ENX,1.34,1.26,1.1,1.56,96.3,122.41,8.33,4991.94,20112.12,10782.68,3775.91,1173.2,52.53,15.75
7/7/2015,28.99,86986,29.0543766,,,-2.587099,,ENX,1.34,1.27,1.1,1.56,96.87,122.61,8.26,4997.46,20376.59,10829.32,3727.13,1152.6,52.33,14.97
7/8/2015,29.37,93771,29.11176268,,,-2.485529452,,ENX,1.34,1.27,1.1,1.55,96.29,122.49,7.8,4909.76,19737.64,10636.8,3507.19,1163.5,51.65,15.16
7/9/2015,29.7,121120,29.21871492,,,0.942760943,,ENX,1.35,1.27,1.11,1.54,96.61,120.86,8.05,4922.4,19855.5,10689.51,3709.33,1159.2,52.78,15.36
7/10/2015,30.07,87451,29.37349402,,,-0.565347522,,ENX,1.34,1.27,1.11,1.54,96.03,121.7,8.22,4997.7,19779.83,10853.92,3877.8,1157.9,52.74,15.48
7/13/2015,31.21,103872,29.7074042,,,-3.652675425,,ENX,1.35,1.27,1.11,1.55,96.86,122.5,8.27,5071.51,20089.77,10944.85,3970.39,1155.4,52.2,15.46
7/14/2015,31.64,130595,30.05878525,,,-3.318584071,-8.501896334,ENX,1.35,1.28,1.1,1.55,96.64,123.57,8.45,5104.89,20385.33,10993.26,3924.49,1153.5,53.04,15.32
