Date,Close,Volume,EMA10,EMA50,EMA100,ROC12,ROC24,Name,AUD,CAD,EUR,GBP,USD,JPY,ENX,NASDAQ,NIKKEI,NYSE,SSE,GOLD,OIL,SILVER
6/9/2015,7.65,400,,,,,,JPXGY,1.3,1.24,1.13,1.53,95.17,124.56,36.54,5013.87,20096.3,10915.64,5113.53,1177.6,60.14,15.96
6/10/2015,7.4,2800,,,,,,JPXGY,1.3,1.23,1.13,1.54,94.65,124.34,36.51,5076.69,20046.36,11057.99,5106.04,1186.6,61.43,15.96
6/11/2015,7.45,3400,,,,,,JPXGY,1.29,1.23,1.13,1.55,94.98,122.87,37.33,5082.51,20382.97,11080.51,5121.59,1180.4,60.77,15.96
6/12/2015,7.42,23800,,,,,,JPXGY,1.29,1.23,1.12,1.55,94.97,123.58,35.94,5051.1,20407.08,11009.91,5166.35,1179.2,59.96,15.83
6/15/2015,7.56,9800,,,,,,JPXGY,1.29,1.23,1.12,1.56,94.81,123.29,35.5,5029.97,20387.79,10949.54,5062.99,1185.8,59.52,16.08
6/16/2015,7.5,3800,,,,,,JPXGY,1.29,1.23,1.13,1.56,95,123.42,35.62,5055.55,20257.94,10997.66,4887.43,1180.9,59.97,15.97
6/17/2015,7.6,1600,,,,,,JPXGY,1.29,1.23,1.12,1.56,94.3,123.44,35.24,5064.88,20219.27,11013.66,4967.9,1176.8,59.92,15.95
6/18/2015,7.73,742200,,,,,,JPXGY,1.29,1.22,1.14,1.58,94.04,123.53,35.65,5132.95,19990.82,11100.47,4785.36,1202,60.45,16.15
6/19/2015,7.8,428600,,,,,,JPXGY,1.28,1.22,1.14,1.59,94.09,123,36.15,5117,20174.24,11038.96,4478.36,1201.9,59.61,16.11
6/23/2015,8.03,4600,7.614,,,,,JPXGY,1.29,1.23,1.13,1.58,95.43,123.38,37.85,5160.09,20809.42,11149.36,4576.49,1176.6,61.01,15.74
6/24/2015,8.3,43400,7.738727273,,,,,JPXGY,1.29,1.23,1.12,1.57,95.26,123.86,37.75,5122.41,20868.03,11066.14,4690.15,1172.9,60.27,15.85
6/25/2015,7.99,8800,7.784413223,,,-4.255319149,,JPXGY,1.3,1.24,1.12,1.57,95.19,123.85,37.97,5112.19,20771.4,11035.73,4527.78,1171.8,59.7,15.81
6/26/2015,8.2,38000,7.859974455,,,-9.756097561,,JPXGY,1.29,1.23,1.12,1.57,95.47,123.6,38.62,5080.51,20706.15,11040.31,4192.87,1173.2,59.63,15.77
6/29/2015,7.94,6400,7.874524554,,,-6.171284635,,JPXGY,1.31,1.24,1.1,1.57,94.79,122.61,35.9,4958.47,20109.95,10790.33,4053.03,1179,58.33,15.7
6/30/2015,8.13,15600,7.920974635,,,-8.733087331,,JPXGY,1.3,1.24,1.12,1.57,95.49,122.67,35.32,4986.87,20235.73,10805.2,4277.22,1171.8,59.47,15.58
7/1/2015,8.31,13000,7.99170652,,,-9.025270758,,JPXGY,1.3,1.25,1.11,1.57,96.31,122.39,36.11,5013.12,20329.32,10858.99,4053.7,1169.3,56.96,15.58
7/2/2015,8.52,1800,8.08775988,,,-11.97183099,,JPXGY,1.31,1.26,1.1,1.56,96.11,123.32,37.49,5009.21,20522.5,10864.82,3912.77,1163.5,56.93,15.56
