Date,Close,Volume,EMA10,EMA50,EMA100,ROC12,ROC24,Name,AUD,CAD,EUR,GBP,USD,JPY,ENX,JPXGY,NIKKEI,NASDAQ,NYSE,GOLD,OIL,SILVER
6/9/2015,5113.53,729900,,,,,,SSE,1.3,1.24,1.13,1.53,95.17,124.56,36.54,7.65,20096.3,5013.87,10915.64,1177.6,60.14,15.96
6/10/2015,5106.04,597000,,,,,,SSE,1.3,1.23,1.13,1.54,94.65,124.34,36.51,7.4,20046.36,5076.69,11057.99,1186.6,61.43,15.96
6/11/2015,5121.59,564000,,,,,,SSE,1.29,1.23,1.13,1.55,94.98,122.87,37.33,7.45,20382.97,5082.51,11080.51,1180.4,60.77,15.96
6/12/2015,5166.35,625600,,,,,,SSE,1.29,1.23,1.12,1.55,94.97,123.58,35.94,7.42,20407.08,5051.1,11009.91,1179.2,59.96,15.83
6/15/2015,5062.99,637800,,,,,,SSE,1.29,1.23,1.12,1.56,94.81,123.29,35.5,7.56,20387.79,5029.97,10949.54,1185.8,59.52,16.08
6/16/2015,4887.43,550800,,,,,,SSE,1.29,1.23,1.13,1.56,95,123.42,35.62,7.5,20257.94,5055.55,10997.66,1180.9,59.97,15.97
6/17/2015,4967.9,537100,,,,,,SSE,1.29,1.23,1.12,1.56,94.3,123.44,35.24,7.6,20219.27,5064.88,11013.66,1176.8,59.92,15.95
6/18/2015,4785.36,507400,,,,,,SSE,1.29,1.22,1.14,1.58,94.04,123.53,35.65,7.73,19990.82,5132.95,11100.47,1202,60.45,16.15
6/19/2015,4478.36,452700,,,,,,SSE,1.28,1.22,1.14,1.59,94.09,123,36.15,7.8,20174.24,5117,11038.96,1201.9,59.61,16.11
6/23/2015,4576.49,473500,4926.604,,,,,SSE,1.29,1.23,1.13,1.58,95.43,123.38,37.85,8.03,20809.42,5160.09,11149.36,1176.6,61.01,15.74
6/24/2015,4690.15,543000,4883.612364,,,,,SSE,1.29,1.23,1.12,1.57,95.26,123.86,37.75,8.3,20868.03,5122.41,11066.14,1172.9,60.27,15.85
6/25/2015,4527.78,572800,4818.91557,,,12.93680347,,SSE,1.3,1.24,1.12,1.57,95.19,123.85,37.97,7.99,20771.4,5112.19,11035.73,1171.8,59.7,15.81
6/26/2015,4192.87,565200,4705.089103,,,21.7791155,,SSE,1.29,1.23,1.12,1.57,95.47,123.6,38.62,8.2,20706.15,5080.51,11040.31,1173.2,59.63,15.77
6/29/2015,4053.03,673800,4586.532902,,,26.364473,,SSE,1.31,1.24,1.1,1.57,94.79,122.61,35.9,7.94,20109.95,4958.47,10790.33,1179,58.33,15.7
6/30/2015,4277.22,709200,4530.294193,,,20.78756763,,SSE,1.3,1.24,1.12,1.57,95.49,122.67,35.32,8.13,20235.73,4986.87,10805.2,1171.8,59.47,15.58
7/1/2015,4053.7,598800,4443.640703,,,24.89799442,,SSE,1.3,1.25,1.11,1.57,96.31,122.39,36.11,8.31,20329.32,5013.12,10858.99,1169.3,56.96,15.58
7/2/2015,3912.77,586000,4347.118757,,,24.90971869,,SSE,1.31,1.26,1.1,1.56,96.11,123.32,37.49,8.52,20522.5,5009.21,10864.82,1163.5,56.93,15.56
7/6/2015,3775.91,831100,4243.26262,,,31.5682842,,SSE,1.34,1.26,1.1,1.56,96.3,122.41,36.72,8.33,20112.12,4991.94,10782.68,1173.2,52.53,15.75
7/7/2015,3727.13,698800,4149.420325,,,28.39262382,,SSE,1.34,1.27,1.1,1.56,96.87,122.61,36.6,8.26,20376.59,4997.46,10829.32,1152.6,52.33,14.97
7/8/2015,3507.19,680400,4032.651175,,,27.69082941,,SSE,1.34,1.27,1.1,1.55,96.29,122.49,37.08,7.8,19737.64,4909.76,10636.8,1163.5,51.65,15.16
7/9/2015,3709.33,656900,3973.865507,,,23.37780677,,SSE,1.35,1.27,1.11,1.54,96.61,120.86,37.49,8.05,19855.5,4922.4,10689.51,1159.2,52.78,15.36
7/10/2015,3877.8,586400,3956.399051,,,20.94873382,,SSE,1.34,1.27,1.11,1.54,96.03,121.7,37.96,8.22,19779.83,4997.7,10853.92,1157.9,52.74,15.48
7/13/2015,3970.39,643500,3958.94286,,,14.03867126,,SSE,1.35,1.27,1.11,1.55,96.86,122.5,39.4,8.27,20089.77,5071.51,10944.85,1155.4,52.2,15.46
7/14/2015,3924.49,670600,3952.678704,,,6.838595588,30.29794954,SSE,1.35,1.28,1.1,1.55,96.64,123.57,39.94,8.45,20385.33,5104.89,10993.26,1153.5,53.04,15.32
7/15/2015,3805.7,601300,3925.955303,,,6.498935807,34.16822135,SSE,1.34,1.27,1.1,1.56,97.13,123.32,40.42,8.4,20463.33,5098.94,10958.83,1147.4,51.41,15.05
7/16/2015,3823.18,492300,3907.268884,,,11.87597759,33.96151894,SSE,1.36,1.29,1.09,1.56,97.66,123.87,40.9,8.65,20600.12,5163.18,11024.87,1143.9,50.91,14.98
7/17/2015,3957.35,481700,3916.374542,,,2.434710096,30.55074734,SSE,1.35,1.3,1.09,1.56,97.86,124.15,41.01,8.51,20650.92,5210.14,10987.17,1131.9,50.89,14.83
7/21/2015,4017.68,504300,3934.793716,,,-2.611208459,26.01775154,SSE,1.36,1.3,1.08,1.56,97.33,124.29,39.99,8.54,20841.97,5208.12,10919,1103.5,50.36,14.79
7/22/2015,4026.04,520700,3951.383949,,,-6.212804642,21.39546552,SSE,1.35,1.29,1.09,1.56,97.6,123.86,39.6,8.54,20593.67,5171.77,10899.86,1091.5,49.19,14.73
7/23/2015,4123.92,563600,3982.75414,,,-9.621670643,20.46547945,SSE,1.36,1.3,1.09,1.56,97.12,124.07,39.47,8.73,20683.95,5146.41,10840.73,1094.1,48.45,14.7
7/24/2015,4070.91,627400,3998.782479,,,-13.84751812,17.55013007,SSE,1.36,1.3,1.1,1.55,97.24,123.88,39.45,8.55,20544.53,5088.63,10721.95,1085.5,48.14,14.49
7/27/2015,3725.56,556000,3949.105664,,,-0.435639206,20.20635824,SSE,1.37,1.3,1.1,1.55,96.5,123.76,39,8.18,20350.1,5039.78,10656.61,1096.9,47.39,14.61
7/28/2015,3663,563300,3897.086453,,,5.864045864,24.93830194,SSE,1.37,1.3,1.11,1.56,96.77,123.24,38.75,8.61,20328.89,5089.21,10790.18,1096.7,47.98,14.64
7/29/2015,3789.17,434400,3877.465279,,,4.782577715,23.77776663,SSE,1.36,1.29,1.11,1.56,96.98,123.58,39,8.72,20302.91,5111.73,10883.91,1093.3,48.79,14.74
7/30/2015,3705.77,457900,3846.247956,,,5.902147192,22.18189472,SSE,1.37,1.29,1.1,1.56,97.56,123.94,40.6,8.75,20522.83,5128.78,10881.75,1088.7,48.52,14.7
7/31/2015,3663.73,351000,3813.062873,,,3.875012624,14.44265817,SSE,1.37,1.3,1.09,1.56,97.37,124.07,41.56,8.76,20585.24,5128.28,10882.28,1095.1,47.12,14.75
8/3/2015,3622.91,364000,3778.489623,,,5.527876762,11.87222426,SSE,1.37,1.31,1.1,1.56,97.49,124.04,42,8.61,20548.11,5115.38,10841.26,1089.4,45.17,14.52
8/4/2015,3756.54,362900,3774.498783,,,5.345610588,13.86062707,SSE,1.37,1.32,1.1,1.56,97.93,123.95,41.75,8.68,20520.36,5105.55,10824.7,1090.7,45.74,14.56
8/5/2015,3694.57,366400,3759.966277,,,8.74553737,9.72048168,SSE,1.36,1.32,1.09,1.56,97.96,124.27,41.64,8.77,20614.06,5139.94,10847.85,1085.6,45.15,14.55
8/6/2015,3661.54,274100,3742.07059,,,9.95482775,6.861320647,SSE,1.36,1.32,1.09,1.56,97.83,124.73,41.66,8.71,20664.44,5056.44,10799.44,1090.1,44.66,14.68
8/7/2015,3744.21,340800,3742.459574,,,10.1412581,0.846640546,SSE,1.36,1.31,1.09,1.55,97.56,124.73,40.19,8.59,20724.56,5043.54,10763.15,1094.1,43.87,14.82
8/10/2015,3928.42,497300,3776.27056,,,3.627157992,-5.123942959,SSE,1.35,1.31,1.1,1.55,97.16,124.3,40.79,8.7,20808.69,5101.8,10906.05,1104.1,44.96,15.29
8/11/2015,3927.91,538900,3803.841368,,,-5.151594614,-10.71103971,SSE,1.35,1.3,1.1,1.56,97.29,124.61,40.44,8.51,20720.75,5036.79,10802.09,1107.7,43.08,15.28
