Date,Close,Volume,EMA10,EMA50,EMA100,ROC12,ROC24,Name,AUD,CAD,EUR,GBP,USD,JPY,ENX,JPXGY,NIKKEI,NYSE,SSE,GOLD,OIL,SILVER
6/9/2015,5013.87,1754340000,,,,,,NASDAQ,1.3,1.24,1.13,1.53,95.17,124.56,36.54,7.65,20096.3,10915.64,5113.53,1177.6,60.14,15.96
6/10/2015,5076.69,1792980000,,,,,,NASDAQ,1.3,1.23,1.13,1.54,94.65,124.34,36.51,7.4,20046.36,11057.99,5106.04,1186.6,61.43,15.96
6/11/2015,5082.51,1623950000,,,,,,NASDAQ,1.29,1.23,1.13,1.55,94.98,122.87,37.33,7.45,20382.97,11080.51,5121.59,1180.4,60.77,15.96
6/12/2015,5051.1,1428900000,,,,,,NASDAQ,1.29,1.23,1.12,1.55,94.97,123.58,35.94,7.42,20407.08,11009.91,5166.35,1179.2,59.96,15.83
6/15/2015,5029.97,1790280000,,,,,,NASDAQ,1.29,1.23,1.12,1.56,94.81,123.29,35.5,7.56,20387.79,10949.54,5062.99,1185.8,59.52,16.08
6/16/2015,5055.55,1654820000,,,,,,NASDAQ,1.29,1.23,1.13,1.56,95,123.42,35.62,7.5,20257.94,10997.66,4887.43,1180.9,59.97,15.97
6/17/2015,5064.88,1712820000,,,,,,NASDAQ,1.29,1.23,1.12,1.56,94.3,123.44,35.24,7.6,20219.27,11013.66,4967.9,1176.8,59.92,15.95
6/18/2015,5132.95,1877920000,,,,,,NASDAQ,1.29,1.22,1.14,1.58,94.04,123.53,35.65,7.73,19990.82,11100.47,4785.36,1202,60.45,16.15
6/19/2015,5117,2468310000,,,,,,NASDAQ,1.28,1.22,1.14,1.59,94.09,123,36.15,7.8,20174.24,11038.96,4478.36,1201.9,59.61,16.11
6/23/2015,5160.09,1613540000,5078.461,,,,,NASDAQ,1.29,1.23,1.13,1.58,95.43,123.38,37.85,8.03,20809.42,11149.36,4576.49,1176.6,61.01,15.74
6/24/2015,5122.41,1628800000,5086.451727,,,,,NASDAQ,1.29,1.23,1.12,1.57,95.26,123.86,37.75,8.3,20868.03,11066.14,4690.15,1172.9,60.27,15.85
6/25/2015,5112.19,1614760000,5091.131413,,,-1.923246202,,NASDAQ,1.3,1.24,1.12,1.57,95.19,123.85,37.97,7.99,20771.4,11035.73,4527.78,1171.8,59.7,15.81
6/26/2015,5080.51,3843810000,5089.200247,,,-0.075189302,,NASDAQ,1.29,1.23,1.12,1.57,95.47,123.6,38.62,8.2,20706.15,11040.31,4192.87,1173.2,59.63,15.77
6/29/2015,4958.47,2025580000,5065.431111,,,2.501578108,,NASDAQ,1.31,1.24,1.1,1.57,94.79,122.61,35.9,7.94,20109.95,10790.33,4053.03,1179,58.33,15.7
6/30/2015,4986.87,2034430000,5051.147273,,,1.287982241,,NASDAQ,1.3,1.24,1.12,1.57,95.49,122.67,35.32,8.13,20235.73,10805.2,4277.22,1171.8,59.47,15.58
7/1/2015,5013.12,1814560000,5044.233223,,,0.336118026,,NASDAQ,1.3,1.25,1.11,1.57,96.31,122.39,36.11,8.31,20329.32,10858.99,4053.7,1169.3,56.96,15.58
7/2/2015,5009.21,1490810000,5037.865365,,,0.925095973,,NASDAQ,1.31,1.26,1.1,1.56,96.11,123.32,37.49,8.52,20522.5,10864.82,3912.77,1163.5,56.93,15.56
7/6/2015,4991.94,1741500000,5029.515298,,,1.461155382,,NASDAQ,1.34,1.26,1.1,1.56,96.3,122.41,36.72,8.33,20112.12,10782.68,3775.91,1173.2,52.53,15.75
7/7/2015,4997.46,2132080000,5023.687062,,,2.711177278,,NASDAQ,1.34,1.27,1.1,1.56,96.87,122.61,36.6,8.26,20376.59,10829.32,3727.13,1152.6,52.33,14.97
7/8/2015,4909.76,1931520000,5002.973051,,,4.220980252,,NASDAQ,1.34,1.27,1.1,1.55,96.29,122.49,37.08,7.8,19737.64,10636.8,3507.19,1163.5,51.65,15.16
7/9/2015,4922.4,1861600000,4988.323405,,,4.828742077,,NASDAQ,1.35,1.27,1.11,1.54,96.61,120.86,37.49,8.05,19855.5,10689.51,3709.33,1159.2,52.78,15.36
