Date,Close,Volume,EMA10,EMA50,EMA100,ROC12,ROC24,Name,AUD,CAD,EUR,GBP,USD,JPY,ENX,JPXGY,NIKKEI,NASDAQ,SSE,GOLD,OIL,SILVER
6/9/2015,10915.64,3034580000,,,,,,NYSE,1.3,1.24,1.13,1.53,95.17,124.56,36.54,7.65,20096.3,5013.87,5113.53,1177.6,60.14,15.96
6/10/2015,11057.99,3414320000,,,,,,NYSE,1.3,1.23,1.13,1.54,94.65,124.34,36.51,7.4,20046.36,5076.69,5106.04,1186.6,61.43,15.96
6/11/2015,11080.51,3128600000,,,,,,NYSE,1.29,1.23,1.13,1.55,94.98,122.87,37.33,7.45,20382.97,5082.51,5121.59,1180.4,60.77,15.96
6/12/2015,11009.91,2719400000,,,,,,NYSE,1.29,1.23,1.12,1.55,94.97,123.58,35.94,7.42,20407.08,5051.1,5166.35,1179.2,59.96,15.83
6/15/2015,10949.54,3061570000,,,,,,NYSE,1.29,1.23,1.12,1.56,94.81,123.29,35.5,7.56,20387.79,5029.97,5062.99,1185.8,59.52,16.08
6/16/2015,10997.66,2919900000,,,,,,NYSE,1.29,1.23,1.13,1.56,95,123.42,35.62,7.5,20257.94,5055.55,4887.43,1180.9,59.97,15.97
6/17/2015,11013.66,3222240000,,,,,,NYSE,1.29,1.23,1.12,1.56,94.3,123.44,35.24,7.6,20219.27,5064.88,4967.9,1176.8,59.92,15.95
6/18/2015,11100.47,3499000000,,,,,,NYSE,1.29,1.22,1.14,1.58,94.04,123.53,35.65,7.73,19990.82,5132.95,4785.36,1202,60.45,16.15
6/19/2015,11038.96,4449810000,,,,,,NYSE,1.28,1.22,1.14,1.59,94.09,123,36.15,7.8,20174.24,5117,4478.36,1201.9,59.61,16.11
6/23/2015,11149.36,3091190000,11031.37,,,,,NYSE,1.29,1.23,1.13,1.58,95.43,123.38,37.85,8.03,20809.42,5160.09,4576.49,1176.6,61.01,15.74
6/24/2015,11066.14,3102480000,11037.69182,,,,,NYSE,1.29,1.23,1.12,1.57,95.26,123.86,37.75,8.3,20868.03,5122.41,4690.15,1172.9,60.27,15.85
6/25/2015,11035.73,3214610000,11037.33512,,,-1.088192625,,NYSE,1.3,1.24,1.12,1.57,95.19,123.85,37.97,7.99,20771.4,5112.19,4527.78,1171.8,59.7,15.81
6/26/2015,11040.31,5025470000,11037.87601,,,0.160140431,,NYSE,1.29,1.23,1.12,1.57,95.47,123.6,38.62,8.2,20706.15,5080.51,4192.87,1173.2,59.63,15.77
6/29/2015,10790.33,3678960000,10992.86764,,,2.689259735,,NYSE,1.31,1.24,1.1,1.57,94.79,122.61,35.9,7.94,20109.95,4958.47,4053.03,1179,58.33,15.7
6/30/2015,10805.2,4078540000,10958.74625,,,1.894550772,,NYSE,1.3,1.24,1.12,1.57,95.49,122.67,35.32,8.13,20235.73,4986.87,4277.22,1171.8,59.47,15.58
7/1/2015,10858.99,3727260000,10940.60875,,,0.83387129,,NYSE,1.3,1.25,1.11,1.57,96.31,122.39,36.11,8.31,20329.32,5013.12,4053.7,1169.3,56.96,15.58
7/2/2015,10864.82,2996540000,10926.82898,,,1.222661765,,NYSE,1.31,1.26,1.1,1.56,96.11,123.32,37.49,8.52,20522.5,5009.21,3912.77,1163.5,56.93,15.56
7/6/2015,10782.68,3486360000,10900.62008,,,2.14213906,,NYSE,1.34,1.26,1.1,1.56,96.3,122.41,36.72,8.33,20112.12,4991.94,3775.91,1173.2,52.53,15.75
7/7/2015,10829.32,4458660000,10887.65643,,,2.503850657,,NYSE,1.34,1.27,1.1,1.56,96.87,122.61,36.6,8.26,20376.59,4997.46,3727.13,1152.6,52.33,14.97
7/8/2015,10636.8,3608780000,10842.04617,,,3.780836342,,NYSE,1.34,1.27,1.1,1.55,96.29,122.49,37.08,7.8,19737.64,4909.76,3507.19,1163.5,51.65,15.16
7/9/2015,10689.51,3446810000,10814.31232,,,4.301881003,,NYSE,1.35,1.27,1.11,1.54,96.61,120.86,37.49,8.05,19855.5,4922.4,3709.33,1159.2,52.78,15.36
7/10/2015,10853.92,3065070000,10821.51371,,,1.955238292,,NYSE,1.34,1.27,1.11,1.54,96.03,121.7,37.96,8.22,19779.83,4997.7,3877.8,1157.9,52.74,15.48
7/13/2015,10944.85,3096730000,10843.93849,,,0.830344865,,NYSE,1.35,1.27,1.11,1.55,96.86,122.5,39.4,8.27,20089.77,5071.51,3970.39,1155.4,52.2,15.46
7/14/2015,10993.26,3002120000,10871.08786,,,0.427989514,-0.706068991,NYSE,1.35,1.28,1.1,1.55,96.64,123.57,39.94,8.45,20385.33,5104.89,3924.49,1153.5,53.04,15.32
7/15/2015,10958.83,3261810000,10887.04098,,,-1.537572898,0.904841119,NYSE,1.34,1.27,1.1,1.56,97.13,123.32,40.42,8.4,20463.33,5098.94,3805.7,1147.4,51.41,15.05
7/16/2015,11024.87,3227080000,10912.1008,,,-1.99249515,0.504677153,NYSE,1.36,1.29,1.09,1.56,97.66,123.87,40.9,8.65,20600.12,5163.18,3823.18,1143.9,50.91,14.98
7/17/2015,10987.17,3362750000,10925.74974,,,-1.166633446,0.206968673,NYSE,1.35,1.3,1.09,1.56,97.86,124.15,41.01,8.51,20650.92,5210.14,3957.35,1131.9,50.89,14.83
