Date,Open,High,Low,Close
07/31/2023,"80.65","82.00","80.13","81.80"
07/28/2023,"79.84","80.71","79.07","80.58"
07/27/2023,"78.90","80.60","78.87","80.09"
07/26/2023,"79.34","79.77","78.55","78.78"
07/25/2023,"78.85","79.90","78.29","79.63"
07/24/2023,"77.01","79.28","76.44","78.74"
07/21/2023,"75.70","77.29","75.69","77.07"
07/20/2023,"75.35","76.15","74.70","75.63"
07/19/2023,"75.84","76.97","75.07","75.35"
07/18/2023,"74.18","75.96","73.88","75.75"
07/17/2023,"75.02","76.09","73.84","74.15"
07/14/2023,"77.16","77.30","75.11","75.42"
07/13/2023,"75.85","77.33","75.32","76.89"
07/12/2023,"74.83","76.15","74.67","75.75"
07/11/2023,"73.19","74.96","72.98","74.83"
07/10/2023,"73.86","74.15","72.67","72.99"
07/07/2023,"71.89","73.92","71.19","73.86"
07/06/2023,"71.80","72.34","70.22","71.80"
07/05/2023,"71.02","72.17","70.34","71.79"
07/03/2023,"70.45","71.77","69.69","69.79"
06/30/2023,"69.82","71.04","69.53","70.64"
06/29/2023,"69.25","70.60","68.93","69.86"
06/28/2023,"68.01","69.73","67.05","69.56"
06/27/2023,"69.49","70.15","67.50","67.70"
06/26/2023,"69.84","70.11","68.71","69.37"
06/23/2023,"69.53","69.65","67.35","69.16"
06/22/2023,"72.43","72.65","68.93","69.51"
06/21/2023,"70.90","72.72","70.80","72.53"
06/20/2023,"70.96","72.09","69.65","70.50"
06/16/2023,"70.55","71.89","69.95","71.78"
06/15/2023,"68.70","70.96","67.97","70.62"
06/14/2023,"69.35","70.49","68.07","68.27"
06/13/2023,"67.31","69.83","67.15","69.42"
06/12/2023,"70.27","70.33","66.80","67.12"
06/09/2023,"70.94","71.77","70.10","70.17"
06/08/2023,"72.47","73.28","69.03","71.29"
06/07/2023,"71.56","73.19","71.01","72.53"
06/06/2023,"71.99","72.33","70.13","71.74"
06/05/2023,"75.03","75.06","71.73","72.15"
06/02/2023,"70.21","72.17","70.00","71.74"
06/01/2023,"67.60","71.07","67.51","70.10"
05/31/2023,"69.62","69.69","67.03","68.09"
05/30/2023,"72.98","73.36","69.02","69.46"
05/26/2023,"71.89","73.05","71.49","72.67"
05/25/2023,"74.21","74.37","70.98","71.83"
05/24/2023,"73.77","74.73","73.13","74.34"
05/23/2023,"72.10","73.79","71.71","72.91"
05/22/2023,"71.70","72.36","70.55","71.99"
05/19/2023,"71.94","73.40","71.03","71.55"
05/18/2023,"72.75","72.87","71.42","71.86"
05/17/2023,"70.60","73.26","70.04","72.83"
05/16/2023,"71.32","71.79","70.45","70.86"
05/15/2023,"70.04","71.69","69.41","71.11"
05/12/2023,"71.42","71.78","69.93","70.04"
05/11/2023,"72.77","73.50","70.63","70.87"
05/10/2023,"73.58","73.89","71.80","72.56"
05/09/2023,"72.84","73.78","71.34","73.71"
05/08/2023,"71.35","73.69","71.04","73.16"
05/05/2023,"68.70","71.81","68.48","71.34"
05/04/2023,"68.16","69.84","63.57","68.56"
05/03/2023,"71.56","71.79","67.95","68.60"
05/02/2023,"75.76","76.11","71.42","71.66"
05/01/2023,"76.66","76.69","74.53","75.66"
04/28/2023,"74.91","76.92","73.93","76.78"
04/27/2023,"74.38","75.28","74.03","74.76"
04/26/2023,"77.08","77.93","74.05","74.30"
04/25/2023,"78.74","79.07","76.50","77.07"
04/24/2023,"77.97","79.18","76.72","78.76"
04/21/2023,"77.13","78.39","76.72","77.87"
04/20/2023,"78.87","78.89","76.97","77.29"
04/19/2023,"80.92","81.19","78.46","79.16"
04/18/2023,"81.00","81.48","79.87","80.86"
04/17/2023,"82.48","82.71","80.47","80.83"
04/14/2023,"82.40","83.12","81.76","82.52"
04/13/2023,"83.22","83.44","82.11","82.16"
04/12/2023,"81.44","83.53","81.28","83.26"
04/11/2023,"79.88","81.59","79.37","81.53"
04/10/2023,"80.50","81.22","79.61","79.74"
04/06/2023,"80.37","80.96","79.65","80.70"
04/05/2023,"81.01","81.24","79.72","80.61"
04/04/2023,"80.44","81.81","79.61","80.71"
04/03/2023,"80.10","81.69","79.00","80.42"
03/31/2023,"74.37","75.72","73.77","75.67"
03/30/2023,"72.98","74.63","72.61","74.37"
03/29/2023,"73.61","74.37","72.76","72.97"
03/28/2023,"72.86","73.93","72.19","73.20"
03/27/2023,"69.42","73.10","69.13","72.81"
03/24/2023,"69.51","70.38","66.82","69.26"
03/23/2023,"69.95","71.67","69.14","69.96"
03/22/2023,"69.48","71.31","68.89","70.90"
03/21/2023,"67.62","69.60","66.77","69.33"
03/20/2023,"66.62","67.70","64.12","67.64"
03/17/2023,"68.26","69.64","65.17","66.74"
03/16/2023,"68.22","69.38","65.71","68.35"
03/15/2023,"71.56","72.56","65.65","67.61"
03/14/2023,"74.70","74.90","70.78","71.33"
03/13/2023,"76.60","77.47","72.30","74.80"
03/10/2023,"75.65","77.11","74.77","76.68"
03/09/2023,"76.50","78.06","75.43","75.72"
03/08/2023,"77.32","77.73","76.11","76.66"
03/07/2023,"80.50","80.94","77.06","77.58"
03/06/2023,"79.92","80.63","78.32","80.46"
03/03/2023,"77.89","79.90","75.83","79.68"
03/02/2023,"77.74","78.59","77.23","78.16"
03/01/2023,"76.85","77.85","76.12","77.69"
02/28/2023,"75.76","77.83","75.55","77.05"
02/27/2023,"76.42","76.82","74.99","75.68"
02/24/2023,"75.60","76.63","74.09","76.32"
02/23/2023,"73.92","75.99","73.83","75.39"
02/22/2023,"76.11","76.55","73.80","73.95"
02/21/2023,"77.11","77.40","75.69","76.16"
02/17/2023,"78.07","78.25","75.06","76.34"
02/16/2023,"78.54","79.54","77.92","78.49"
02/15/2023,"78.83","79.15","77.25","78.59"
02/14/2023,"79.06","79.61","77.46","79.06"
02/13/2023,"79.94","80.62","78.45","80.14"
02/10/2023,"77.68","80.33","77.47","79.72"
02/09/2023,"78.45","78.84","76.52","78.06"
02/08/2023,"77.49","78.57","77.08","78.47"
02/07/2023,"74.57","77.60","74.35","77.14"
02/06/2023,"73.23","74.51","72.25","74.11"
02/03/2023,"75.92","78.00","73.10","73.39"
02/02/2023,"76.79","77.24","74.97","75.88"
02/01/2023,"79.06","79.73","76.05","76.41"
01/31/2023,"77.91","79.25","76.55","78.87"
01/30/2023,"80.04","80.49","77.66","77.90"
01/27/2023,"81.22","82.48","79.04","79.68"
01/26/2023,"80.48","82.14","79.92","81.01"
01/25/2023,"80.26","81.23","79.45","80.15"
01/24/2023,"81.62","82.22","79.66","80.13"
01/23/2023,"81.79","82.64","81.05","81.62"
01/20/2023,"80.60","81.64","79.69","81.31"
01/19/2023,"79.14","81.18","78.13","80.33"
01/18/2023,"80.97","82.38","78.94","79.48"
01/17/2023,"78.84","81.23","78.68","80.18"
01/13/2023,"78.32","80.11","77.97","79.86"
01/12/2023,"77.70","79.16","77.10","78.39"
01/11/2023,"74.78","77.84","74.31","77.41"
01/10/2023,"74.86","75.92","73.84","75.12"
01/09/2023,"73.47","76.74","73.47","74.63"
01/06/2023,"73.97","75.47","73.24","73.77"
01/05/2023,"73.25","74.92","72.46","73.67"
01/04/2023,"77.25","77.42","72.73","72.84"
01/03/2023,"80.57","81.50","76.60","76.93"
12/30/2022,"78.73","80.67","77.71","80.26"
12/29/2022,"78.82","78.82","76.79","78.40"
12/28/2022,"79.89","79.92","77.30","78.96"
12/27/2022,"79.90","81.18","79.16","79.53"
12/23/2022,"78.18","80.33","77.98","79.56"
12/22/2022,"78.43","79.90","77.03","77.49"
12/21/2022,"75.99","78.61","75.80","78.29"
12/20/2022,"75.70","76.75","74.31","76.09"
12/19/2022,"74.50","76.42","73.81","75.19"
12/16/2022,"76.37","76.57","73.33","74.29"
12/15/2022,"77.37","77.77","75.33","76.11"
12/14/2022,"75.27","77.75","74.90","77.28"
12/13/2022,"73.29","76.37","73.21","75.39"
12/12/2022,"71.79","73.99","70.25","73.17"
12/09/2022,"71.85","72.92","70.08","71.02"
12/08/2022,"72.38","75.44","71.12","71.46"
12/07/2022,"74.55","75.38","71.75","72.01"
12/06/2022,"77.35","77.88","73.41","74.25"
12/05/2022,"79.99","82.72","76.77","76.93"
12/02/2022,"81.47","82.22","79.65","79.98"
12/01/2022,"80.40","83.34","79.93","81.22"
11/30/2022,"79.00","81.38","78.40","80.55"
11/29/2022,"76.54","79.65","76.29","78.20"
11/28/2022,"75.93","77.84","73.60","77.24"
11/25/2022,"78.02","79.90","76.22","76.28"
11/23/2022,"81.08","81.95","76.83","77.94"
11/22/2022,"80.22","82.36","79.85","80.95"
11/21/2022,"80.30","80.30","75.08","79.73"
11/18/2022,"82.09","82.64","77.23","80.08"
11/17/2022,"85.22","85.45","81.40","81.64"
11/16/2022,"86.89","87.51","84.20","85.59"
11/15/2022,"85.25","88.68","84.06","86.92"
11/14/2022,"89.02","89.84","85.15","85.87"
11/11/2022,"86.27","90.10","86.18","88.96"
11/10/2022,"85.85","87.35","84.70","86.47"
11/09/2022,"88.57","89.24","85.50","85.83"
11/08/2022,"91.87","92.17","88.52","88.91"
11/07/2022,"91.00","93.74","90.40","91.79"
11/04/2022,"87.90","92.87","87.82","92.61"
11/03/2022,"89.35","89.67","87.60","88.17"
11/02/2022,"88.62","90.36","87.72","90.00"
11/01/2022,"86.43","89.45","85.92","88.37"
10/31/2022,"88.39","88.65","85.30","86.53"
10/28/2022,"88.67","88.76","87.08","87.90"
10/27/2022,"88.26","89.79","87.33","89.08"
10/26/2022,"85.07","88.41","84.14","87.91"
10/25/2022,"84.88","86.03","83.06","85.32"
10/24/2022,"85.24","85.92","82.63","84.58"
10/21/2022,"85.07","85.90","83.15","85.05"
10/20/2022,"85.94","88.17","85.22","85.98"
10/19/2022,"83.69","86.20","82.59","85.55"
10/18/2022,"85.70","86.51","82.09","82.82"
10/17/2022,"85.59","87.12","84.61","85.46"
10/14/2022,"89.27","89.73","85.20","85.61"
10/13/2022,"87.08","89.66","85.56","89.11"
10/12/2022,"88.67","90.07","86.28","87.27"
10/11/2022,"91.14","91.35","87.91","89.35"
10/10/2022,"93.48","93.64","90.54","91.13"
10/07/2022,"88.93","93.31","88.00","92.64"
10/06/2022,"88.08","89.07","87.04","88.45"
10/05/2022,"86.37","88.42","85.42","87.76"
10/04/2022,"83.22","86.98","83.22","86.52"
10/03/2022,"81.02","84.56","80.87","83.63"
09/30/2022,"81.74","82.56","79.14","79.49"
09/29/2022,"81.90","82.94","80.34","81.23"
09/28/2022,"78.08","82.34","76.55","82.15"
09/27/2022,"76.47","79.51","76.42","78.50"
09/26/2022,"79.23","80.31","76.25","76.71"
09/23/2022,"83.54","83.92","78.04","78.74"
09/22/2022,"83.07","86.00","82.40","83.49"
09/21/2022,"84.25","86.68","82.49","82.94"
09/20/2022,"85.61","86.45","83.52","84.45"
09/19/2022,"85.21","86.22","82.10","85.73"
09/16/2022,"85.16","86.59","84.27","85.11"
09/15/2022,"88.91","89.15","84.53","85.10"
09/14/2022,"87.94","90.19","86.18","88.48"
09/13/2022,"88.09","89.31","85.06","87.31"
09/12/2022,"86.25","89.10","85.16","87.78"
09/09/2022,"82.80","87.20","82.68","86.79"
09/08/2022,"81.91","84.25","81.20","83.54"
09/07/2022,"86.93","87.76","81.50","81.94"
09/06/2022,"88.95","89.48","86.18","86.88"
09/02/2022,"86.56","89.66","86.35","86.87"
09/01/2022,"88.83","89.63","85.98","86.61"
08/31/2022,"92.31","92.73","88.27","89.55"
08/30/2022,"96.90","97.66","90.54","91.64"
08/29/2022,"92.96","97.37","92.29","97.01"
08/26/2022,"93.06","94.02","91.08","93.06"
08/25/2022,"95.35","95.76","92.29","92.52"
08/24/2022,"93.78","95.40","92.79","94.89"
08/23/2022,"90.55","94.22","90.42","93.74"
08/22/2022,"89.65","91.26","86.60","90.23"
08/19/2022,"90.39","92.09","88.38","90.77"
08/18/2022,"87.39","91.46","87.32","90.50"
08/17/2022,"87.10","89.16","85.88","88.11"
08/16/2022,"87.93","90.65","85.73","86.53"
08/15/2022,"91.94","92.10","86.82","89.41"
08/12/2022,"94.09","94.81","91.16","92.09"
08/11/2022,"91.55","95.05","91.24","94.34"
08/10/2022,"90.51","92.43","87.66","91.93"
08/09/2022,"90.69","92.65","89.05","90.50"
08/08/2022,"88.46","90.89","87.22","90.76"
08/05/2022,"88.06","90.76","87.01","89.01"
08/04/2022,"90.95","91.90","87.55","88.54"
08/03/2022,"93.83","96.57","90.38","90.66"
