Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,8.720000,8.730000,8.675000,8.675000,8.675000,20200
2018-08-10,8.675000,8.700000,8.490000,8.570000,8.570000,19500
2018-08-13,8.552000,8.580000,8.370000,8.480000,8.480000,27400
2018-08-14,8.440000,8.620000,8.390000,8.460000,8.460000,118600
2018-08-15,8.230000,8.297000,8.230000,8.285000,8.285000,473900
2018-08-16,8.439000,8.439000,8.290000,8.375000,8.375000,42100
2018-08-17,8.314000,8.610000,8.314000,8.485000,8.485000,21900
2018-08-20,8.554000,8.560000,8.410000,8.500000,8.500000,17800
2018-08-21,8.503000,8.550000,8.420000,8.440000,8.440000,52200
2018-08-22,8.500000,8.560000,8.496000,8.530000,8.530000,261000
2018-08-23,8.550000,8.630000,8.470000,8.630000,8.630000,19500
2018-08-24,8.480000,8.760000,8.480000,8.760000,8.760000,17100
2018-08-27,8.670000,8.700000,8.540000,8.540000,8.540000,23400
2018-08-28,8.591000,8.600000,8.450000,8.500000,8.500000,32800
2018-08-29,8.600000,8.660000,8.510000,8.630000,8.630000,28800
2018-08-30,8.750000,8.750000,8.550000,8.650000,8.650000,25800
2018-08-31,8.852000,8.852000,8.600000,8.725000,8.725000,17000
2018-09-04,8.840000,8.950000,8.770000,8.835000,8.835000,33100
2018-09-05,8.790000,8.790000,8.510000,8.660000,8.660000,35200
2018-09-06,8.305000,8.305000,8.220000,8.250000,8.250000,26800
2018-09-07,8.340000,8.470000,8.230000,8.335000,8.335000,33100
2018-09-10,8.286000,8.390000,8.250000,8.290000,8.290000,34700
2018-09-11,8.280000,8.400000,8.200000,8.305000,8.305000,70300
2018-09-12,8.380000,8.380000,8.210000,8.295000,8.295000,23900
2018-09-13,8.290000,8.410000,8.170000,8.315000,8.315000,69800
2018-09-14,8.480000,8.580000,8.400000,8.520000,8.520000,23000
2018-09-17,8.430000,8.670000,8.430000,8.565000,8.565000,17600
2018-09-18,8.850000,8.850000,8.730000,8.765000,8.765000,72800
2018-09-19,9.043000,9.070000,8.840000,8.870000,8.870000,25300
2018-09-20,8.955000,9.090000,8.870000,8.980000,8.980000,9600
2018-09-21,8.920000,9.110000,8.920000,8.975000,8.975000,10900
2018-09-24,9.000000,9.000000,8.930000,8.965000,8.965000,17800
2018-09-25,9.065000,9.190000,9.050000,9.120000,9.120000,12600
2018-09-26,8.825000,8.990000,8.660000,8.840000,8.840000,12800
2018-09-27,8.560000,8.910000,8.560000,8.785000,8.785000,8700
2018-09-28,8.685000,8.810000,8.560000,8.690000,8.690000,14000
2018-10-01,8.665000,8.810000,8.549000,8.690000,8.690000,14900
2018-10-02,8.630000,8.740000,8.630000,8.655000,8.655000,28800
2018-10-03,8.585000,8.670000,8.460000,8.460000,8.460000,9700
2018-10-04,8.570000,8.651000,8.480000,8.650000,8.650000,18300
2018-10-05,8.610000,8.781000,8.610000,8.640000,8.640000,11800
2018-10-08,8.670000,8.750000,8.570000,8.690000,8.690000,15800
2018-10-09,8.490000,8.730000,8.490000,8.530000,8.530000,8700
2018-10-10,8.630000,8.910000,8.550000,8.830000,8.830000,14800
2018-10-11,8.460000,8.520000,8.340000,8.370000,8.370000,40100
2018-10-12,8.300000,8.480000,8.190000,8.225000,8.225000,67500
2018-10-15,8.350000,8.390000,8.200000,8.310000,8.310000,29300
2018-10-16,8.241000,8.360000,8.190000,8.360000,8.360000,29300
2018-10-17,8.600000,8.600000,8.340000,8.435000,8.435000,50600
2018-10-18,8.540000,8.700000,8.440000,8.485000,8.485000,49500
2018-10-19,8.603000,8.630000,8.380000,8.400000,8.400000,60100
2018-10-22,8.330000,8.440000,8.260000,8.377000,8.377000,42400
2018-10-23,8.226000,8.340000,8.190000,8.340000,8.340000,28800
2018-10-24,8.355000,8.490000,8.120000,8.120000,8.120000,21500
2018-10-25,8.070000,8.305000,8.070000,8.280000,8.280000,49800
2018-10-26,8.410000,8.410000,8.110000,8.275000,8.275000,42900
2018-10-29,8.160000,8.400000,8.050000,8.170000,8.170000,26500
