Date,Open,High,Low,Close
07/31/2023,"24.475","24.985","24.320","24.972"
07/28/2023,"24.265","24.545","24.240","24.495"
07/27/2023,"25.075","25.325","24.180","24.367"
07/26/2023,"24.870","25.210","24.675","24.970"
07/25/2023,"24.525","24.910","24.450","24.824"
07/24/2023,"24.790","24.890","24.425","24.581"
07/21/2023,"24.950","25.110","24.765","24.855"
07/20/2023,"25.345","25.475","24.895","24.962"
07/19/2023,"25.275","25.460","25.145","25.387"
07/18/2023,"25.060","25.405","24.975","25.256"
07/17/2023,"25.155","25.155","24.815","25.018"
07/14/2023,"25.105","25.255","24.910","25.194"
07/13/2023,"24.330","25.110","24.310","24.949"
07/12/2023,"23.325","24.375","23.310","24.310"
07/11/2023,"23.335","23.595","23.220","23.281"
07/10/2023,"23.340","23.370","22.940","23.345"
07/07/2023,"22.905","23.365","22.800","23.289"
07/06/2023,"23.355","23.470","22.720","22.890"
07/05/2023,"23.190","23.535","22.970","23.402"
07/03/2023,"22.995","23.290","22.910","23.112"
06/30/2023,"22.770","23.050","22.540","23.020"
06/29/2023,"22.940","23.110","22.485","22.798"
06/28/2023,"22.925","22.995","22.600","22.889"
06/27/2023,"22.835","23.150","22.785","22.960"
06/26/2023,"22.445","22.940","22.435","22.826"
06/23/2023,"22.290","22.710","22.140","22.354"
06/22/2023,"22.690","22.750","22.200","22.467"
06/21/2023,"23.210","23.230","22.515","22.810"
06/20/2023,"24.045","24.085","23.100","23.234"
06/16/2023,"23.965","24.290","23.910","24.126"
06/15/2023,"24.000","24.010","23.270","23.947"
06/14/2023,"23.730","24.175","23.715","24.105"
06/13/2023,"24.145","24.520","23.665","23.822"
06/12/2023,"24.375","24.395","23.955","24.059"
06/09/2023,"24.360","24.620","24.280","24.410"
06/08/2023,"23.525","24.460","23.510","24.348"
06/07/2023,"23.675","24.165","23.480","23.529"
06/06/2023,"23.665","23.870","23.410","23.670"
06/05/2023,"23.690","23.785","23.320","23.635"
06/02/2023,"23.980","24.120","23.660","23.747"
06/01/2023,"23.625","24.030","23.355","23.987"
05/31/2023,"23.310","23.735","23.160","23.587"
05/30/2023,"23.310","23.450","23.030","23.239"
05/26/2023,"22.830","23.460","22.785","23.360"
05/25/2023,"23.185","23.260","22.800","22.910"
05/24/2023,"23.590","23.655","23.140","23.240"
05/23/2023,"23.800","23.810","23.235","23.624"
05/22/2023,"24.020","24.085","23.760","23.861"
05/19/2023,"23.655","24.185","23.555","24.060"
05/18/2023,"23.940","23.960","23.485","23.633"
05/17/2023,"23.915","24.060","23.715","23.897"
05/16/2023,"24.265","24.275","23.805","23.893"
05/15/2023,"24.100","24.395","24.050","24.291"
05/12/2023,"24.370","24.405","23.910","24.154"
05/11/2023,"25.545","25.700","24.325","24.424"
05/10/2023,"25.840","26.200","25.455","25.658"
05/09/2023,"25.790","25.930","25.570","25.898"
05/08/2023,"25.945","25.990","25.760","25.834"
05/05/2023,"26.330","26.435","25.410","25.930"
05/04/2023,"25.910","26.360","25.700","26.227"
05/03/2023,"25.650","25.910","25.355","25.681"
05/02/2023,"25.245","25.765","24.820","25.619"
05/01/2023,"25.460","26.210","25.140","25.230"
04/28/2023,"25.205","25.350","24.980","25.226"
04/27/2023,"24.975","25.210","24.560","24.983"
04/26/2023,"25.045","25.325","24.815","24.876"
04/25/2023,"25.255","25.435","24.530","24.882"
04/24/2023,"25.155","25.320","24.840","25.311"
04/21/2023,"25.350","25.475","24.985","25.058"
04/20/2023,"25.370","25.585","25.155","25.373"
04/19/2023,"25.280","25.460","24.715","25.371"
04/18/2023,"25.125","25.430","25.030","25.263"
04/17/2023,"25.440","25.710","24.920","25.088"
04/14/2023,"25.970","26.235","25.265","25.460"
04/13/2023,"25.630","26.115","25.515","25.925"
04/12/2023,"25.185","25.825","25.175","25.458"
04/11/2023,"25.015","25.275","24.970","25.186"
04/10/2023,"24.910","25.240","24.775","24.912"
04/06/2023,"25.090","25.175","24.695","25.093"
04/05/2023,"25.175","25.295","24.785","25.037"
04/04/2023,"24.105","25.195","23.970","25.101"
04/03/2023,"24.285","24.335","23.725","24.021"
03/31/2023,"24.050","24.310","23.830","24.156"
03/30/2023,"23.440","24.100","23.370","23.989"
03/29/2023,"23.470","23.555","23.205","23.466"
03/28/2023,"23.210","23.515","22.960","23.420"
03/27/2023,"23.485","23.485","23.000","23.145"
03/24/2023,"23.240","23.705","23.125","23.339"
03/23/2023,"23.100","23.360","22.900","23.256"
03/22/2023,"22.510","23.240","22.410","22.786"
03/21/2023,"22.665","22.785","22.290","22.425"
03/20/2023,"22.710","22.855","22.350","22.646"
03/17/2023,"21.855","22.765","21.785","22.462"
03/16/2023,"21.925","22.210","21.590","21.692"
03/15/2023,"21.795","22.525","21.605","21.882"
03/14/2023,"21.920","22.090","21.465","22.040"
03/13/2023,"20.720","22.045","20.645","21.923"
03/10/2023,"20.145","20.875","19.945","20.506"
03/09/2023,"20.125","20.355","20.025","20.165"
03/08/2023,"20.165","20.290","19.955","20.151"
03/07/2023,"21.140","21.215","20.105","20.199"
03/06/2023,"21.385","21.395","21.070","21.135"
03/03/2023,"20.990","21.385","20.910","21.238"
03/02/2023,"21.085","21.100","20.760","20.901"
03/01/2023,"21.030","21.285","20.945","21.095"
02/28/2023,"20.740","21.125","20.505","21.071"
02/27/2023,"20.915","20.945","20.640","20.793"
02/24/2023,"21.330","21.395","20.725","20.810"
02/23/2023,"21.520","21.670","21.260","21.306"
02/22/2023,"21.870","22.000","21.435","21.677"
02/21/2023,"21.820","21.995","21.645","21.890"
02/17/2023,"21.585","21.800","21.155","21.715"
02/16/2023,"21.640","21.790","21.400","21.710"
02/15/2023,"21.865","21.875","21.385","21.572"
02/14/2023,"21.995","22.040","21.585","21.873"
02/13/2023,"22.030","22.085","21.785","21.852"
02/10/2023,"22.015","22.310","21.830","22.075"
02/09/2023,"22.365","22.615","21.915","22.143"
02/08/2023,"22.210","22.560","22.205","22.420"
02/07/2023,"22.305","22.485","22.065","22.177"
02/06/2023,"22.385","22.635","22.170","22.237"
02/03/2023,"23.515","23.665","22.325","22.405"
02/02/2023,"24.065","24.750","23.495","23.615"
02/01/2023,"23.840","24.150","23.440","23.609"
01/31/2023,"23.695","23.865","23.050","23.836"
01/30/2023,"23.675","23.920","23.630","23.733"
01/27/2023,"24.025","24.120","23.390","23.622"
01/26/2023,"24.055","24.415","23.690","24.020"
01/25/2023,"23.765","24.065","23.440","23.941"
01/24/2023,"23.565","23.855","23.310","23.749"
01/23/2023,"24.055","24.295","22.845","23.554"
01/20/2023,"24.005","24.225","23.830","23.935"
01/19/2023,"23.595","24.075","23.270","23.870"
01/18/2023,"24.090","24.500","23.550","23.647"
01/17/2023,"24.440","24.530","23.975","24.068"
01/13/2023,"23.920","24.445","23.620","24.372"
01/12/2023,"23.530","24.330","23.500","24.004"
01/11/2023,"23.720","24.190","23.340","23.481"
01/10/2023,"23.775","23.905","23.550","23.665"
01/09/2023,"24.025","24.285","23.725","23.871"
01/06/2023,"23.385","24.055","23.345","23.982"
01/05/2023,"23.940","24.060","23.260","23.424"
01/04/2023,"24.175","24.640","23.745","23.964"
01/03/2023,"24.305","24.775","24.095","24.236"
12/30/2022,"24.105","24.360","23.705","24.040"
12/29/2022,"23.725","24.280","23.690","24.250"
12/28/2022,"24.240","24.275","23.645","23.840"
12/27/2022,"24.050","24.495","23.975","24.217"
12/23/2022,"23.740","24.095","23.685","23.920"
12/22/2022,"24.195","24.315","23.550","23.622"
12/21/2022,"24.395","24.525","24.055","24.194"
12/20/2022,"23.180","24.490","23.050","24.271"
12/19/2022,"23.415","23.625","23.030","23.199"
12/16/2022,"23.270","23.445","22.735","23.328"
12/15/2022,"24.180","24.180","23.155","23.305"
12/14/2022,"23.965","24.275","23.605","24.136"
12/13/2022,"23.520","24.390","23.490","23.990"
12/12/2022,"23.650","23.765","23.320","23.403"
12/09/2022,"23.305","23.900","23.140","23.717"
12/08/2022,"22.920","23.425","22.725","23.246"
12/07/2022,"22.350","23.010","22.255","22.922"
12/06/2022,"22.435","22.780","22.190","22.335"
12/05/2022,"23.290","23.690","22.350","22.417"
12/02/2022,"22.975","23.475","22.480","23.250"
12/01/2022,"22.410","23.005","22.240","22.841"
11/30/2022,"21.415","22.410","21.355","21.781"
11/29/2022,"21.436","21.635","21.436","21.436"
11/28/2022,"20.890","21.085","20.845","20.915"
11/25/2022,"21.430","21.430","21.175","21.430"
11/23/2022,"21.605","21.730","21.555","21.367"
11/22/2022,"21.100","21.150","21.045","21.049"
11/21/2022,"20.860","21.150","20.860","20.872"
11/18/2022,"20.997","21.325","20.870","20.997"
11/17/2022,"21.020","21.115","20.985","20.975"
11/16/2022,"21.505","21.535","21.385","21.524"
11/15/2022,"21.630","21.695","21.550","21.518"
11/14/2022,"22.065","22.115","21.970","22.113"
11/11/2022,"21.667","22.160","21.355","21.667"
11/10/2022,"21.770","21.775","21.580","21.702"
11/09/2022,"21.115","21.240","21.045","21.327"
11/08/2022,"21.425","21.540","21.380","21.502"
11/07/2022,"20.850","20.945","20.785","20.919"
11/04/2022,"20.784","20.965","20.784","20.784"
11/03/2022,"19.500","19.515","19.455","19.430"
11/02/2022,"19.230","19.255","19.090","19.594"
11/01/2022,"19.635","19.670","19.595","19.667"
10/31/2022,"19.110","19.160","19.085","19.119"
10/28/2022,"19.565","19.620","18.950","19.147"
10/27/2022,"19.555","19.660","19.255","19.494"
10/26/2022,"19.325","19.765","19.180","19.486"
10/25/2022,"19.195","19.410","18.740","19.349"
10/24/2022,"19.395","19.675","18.985","19.189"
10/21/2022,"18.625","19.405","18.205","19.066"
10/20/2022,"18.405","18.960","18.150","18.689"
10/19/2022,"18.685","18.755","18.305","18.359"
10/18/2022,"18.625","18.865","18.490","18.600"
10/17/2022,"18.160","18.890","18.155","18.719"
10/14/2022,"18.865","19.055","18.010","18.071"
