,Residual
2022-10-20,-31.680352203938103
2022-10-21,-31.922227489167334
2022-10-24,-31.299378275250227
2022-10-25,-32.758499594320895
2022-10-26,-34.224833427423405
2022-10-27,-35.19802856126698
2022-10-28,-35.11276281049313
2022-10-31,-34.90604608890078
2022-11-01,-33.5695691658203
2022-11-02,-32.31633618029923
2022-11-04,-32.38061065854121
2022-11-07,-32.190610654374865
2022-11-08,-32.62976184824524
2022-11-09,-34.87786575912743
2022-11-10,-35.62116139428004
2022-11-11,-37.48302270629338
2022-11-14,-38.025643797456496
2022-11-15,-37.96125415666603
2022-11-16,-38.69054623769583
2022-11-17,-37.465748960842404
2022-11-18,-37.43040390445128
2022-11-21,-37.720598939943976
2022-11-22,-36.017501322269915
2022-11-25,-36.13297536290047
2022-11-28,-36.48845595628452
2022-11-29,-36.800109547888134
2022-11-30,-36.92425117566311
2022-12-01,-38.643362744477706
2022-12-02,-40.010222367488026
2022-12-05,-40.159438731834655
2022-12-06,-39.800946385483144
2022-12-07,-39.15840593028125
2022-12-08,-38.75595671128883
2022-12-09,-36.85690685845718
2022-12-12,-36.24984983621246
2022-12-13,-34.48912713604394
2022-12-14,-36.05206604971044
2022-12-15,-36.36826086732716
2022-12-16,-34.96442378838129
2022-12-19,-33.90899128752497
2022-12-20,-35.001405147556056
2022-12-21,-33.96600989615443
2022-12-22,-35.28902429587164
2022-12-23,-36.53929298329266
2022-12-27,-36.12774737768388
2022-12-28,-35.93535152067656
2022-12-29,-36.11774611523538
2022-12-30,-36.56423638811659
2023-01-04,-35.25941477431594
2023-01-05,-38.205218374939804
2023-01-06,-36.52579670063542
2023-01-10,-38.141937896408365
2023-01-11,-37.39639178248397
2023-01-12,-40.38589576632387
2023-01-13,-39.18133458483986
2023-01-17,-39.967618650077895
2023-01-18,-40.001109003748866
2023-01-19,-41.80922468693838
2023-01-20,-41.437528261905726
2023-01-30,-40.14163955010153
2023-01-31,-40.39629614867679
2023-02-01,-39.530237840791905
2023-02-02,-40.02500157285108
2023-02-03,-42.44921702876421
2023-02-06,-42.14592604265169
2023-02-07,-41.78277055040347
2023-02-08,-40.025961477454494
2023-02-09,-40.43444377948626
2023-02-10,-42.323359480893785
2023-02-13,-42.879778008985085
2023-02-14,-43.24244427312652
2023-02-15,-44.8703233497613
2023-02-16,-45.33757434163386
2023-02-17,-44.54575745397716
2023-02-21,-44.13237605799627
2023-02-22,-44.069335804396175
2023-02-24,-38.87150699193496
2023-02-27,-36.556801701160424
2023-02-28,-37.446789804068686
2023-03-01,-36.05112418071697
2023-03-02,-38.58787567933672
2023-03-03,-38.56403805068544
2023-03-06,-39.14273939674048
2023-03-07,-38.332200821942266
2023-03-08,-37.45501113209093
2023-03-09,-35.925925643500186
2023-03-10,-36.441314977301914
2023-03-13,-36.05830743462003
2023-03-14,-34.29666672348506
2023-03-15,-35.886066042841364
2023-03-16,-34.40048024115328
2023-03-17,-32.66137135164918
2023-03-20,-30.382585805179176
2023-03-22,-30.546584227568317
2023-03-23,-31.653947923406285
2023-03-24,-33.00283754885913
2023-03-27,-32.58509764113526
2023-03-28,-32.811198259500955
2023-03-29,-32.73582194902963
2023-03-30,-32.46410817734766
2023-03-31,-32.05812330748962
2023-04-03,-32.122455343839604
2023-04-04,-30.168234066158973
2023-04-06,-32.3959003258062
2023-04-11,-32.395754804274986
2023-04-12,-32.156543748576595
2023-04-13,-32.50537372498478
2023-04-14,-33.22695567046404
2023-04-17,-33.636614907800116
2023-04-18,-32.52178395839781
2023-04-19,-32.896923607099325
2023-04-20,-32.199999999999996
2023-04-21,-32.591997882828615
2023-04-24,-33.20153095611129
2023-04-25,-33.71154773671426
2023-04-26,-34.9448260660146
2023-04-27,-34.77055647037692
2023-04-28,-33.53257158243017
2023-05-08,-33.97723609833589
2023-05-09,-32.146249883866815
2023-05-10,-29.686254692941795
2023-05-11,-30.122511374828456
2023-05-12,-30.80039135518134
2023-05-15,-31.288221186141335
2023-05-16,-30.502416244183088
2023-05-17,-29.227929705805863
2023-05-18,-27.03152893325052
2023-05-19,-28.462681564608708
2023-05-22,-27.635085740143495
2023-05-23,-28.52464337250357
2023-05-24,-29.35938192244045
2023-05-25,-27.92091401370776
2023-05-26,-26.19337550125951
2023-05-30,-25.792384511717067
2023-05-31,-27.001384688512438
2023-06-02,-27.876690968410422
2023-06-05,-28.664738109468253
2023-06-06,-29.593906624349067
2023-06-07,-29.1
2023-06-08,-28.77527962272589
2023-06-09,-29.189999999999998
2023-06-12,-29.260811676298943
2023-06-13,-28.989847695890013
2023-06-14,-29.313051008188367
2023-06-15,-30.350414324117594
2023-06-16,-30.687647139295798
2023-06-20,-30.487744772743795
2023-06-21,-29.859285975565157
2023-06-26,-30.012840473683873
2023-06-27,-30.76628173132269
2023-06-28,-30.237627426694885
2023-06-29,-32.78386778117793
2023-06-30,-33.56414570199178
2023-07-03,-34.72585820904416
2023-07-05,-34.35267109267021
2023-07-06,-34.35210350218126
2023-07-07,-33.966678510499634
2023-07-10,-33.863776902323906
2023-07-11,-33.99688951377447
2023-07-12,-32.767122746780856
2023-07-13,-31.863342587770962
2023-07-14,-31.52218901088658
2023-07-18,-32.12974493030679
2023-07-19,-32.66094412221622
2023-07-20,-32.72843621122601
2023-07-21,-34.25187209582572
2023-07-24,-34.71783827998402
2023-07-25,-36.59269042426452
2023-07-26,-35.84529122441144
2023-07-27,-34.838430612543206
2023-07-28,-34.871569448743806
2023-07-31,-38.67033959698202
2023-08-01,-38.861563670602195
2023-08-02,-37.68621202069172
2023-08-03,-37.09927378159924
2023-08-04,-37.723811831759804
2023-08-08,-39.12609686643982
2023-08-09,-38.52111471158712
2023-08-10,-38.01219434474274
2023-08-11,-39.02045063724458
2023-08-14,-32.176225825115495
2023-08-15,-31.299326811754952
2023-08-16,-32.75754733090676
2023-08-17,-34.221865922364756
2023-08-18,-35.195179313166165
2023-08-21,-35.113879190660796
2023-08-22,-34.905701014836
2023-08-23,-33.572135497395486
2023-08-24,-32.31601956675907
