,Residual
2021-12-10,-46.67748130822662
2021-12-13,-51.85414584694898
2021-12-14,-50.98786468769095
2021-12-15,-51.89517559853638
2021-12-16,-52.903439684781205
2021-12-17,-54.80334387042259
2021-12-20,-55.18612390784769
2021-12-21,-53.373750783834225
2021-12-22,-54.150328294266345
2021-12-23,-53.09312755791643
2021-12-27,-54.13180014764132
2021-12-28,-54.7105583058619
2021-12-29,-54.439252044748656
2021-12-30,-56.795651588458625
2022-01-04,-56.69889893865252
2022-01-05,-54.645991937520236
2022-01-06,-53.54541318262467
2022-01-07,-54.470195392886
2022-01-11,-52.10212201425401
2022-01-12,-51.28102272130734
2022-01-13,-51.59556870373153
2022-01-14,-51.29615276457388
2022-01-19,-48.988477603813116
2022-01-20,-49.693331710756084
2022-01-21,-50.429093905256416
2022-01-24,-49.169451921034145
2022-01-25,-46.30135431759411
2022-01-26,-47.74794616168469
2022-01-27,-48.530424185780575
2022-01-28,-47.636132580457954
2022-02-07,-47.37096366943054
2022-02-08,-48.602750625376856
2022-02-09,-47.98491292402103
2022-02-10,-48.9466452495885
2022-02-14,-47.729352655379515
2022-02-15,-45.12871474250648
2022-02-16,-44.91004451464516
2022-02-17,-44.73650604282944
2022-02-18,-44.30883495651293
2022-02-24,-43.342844209003616
2022-02-25,-43.36739561750544
2022-02-28,-43.03300342050619
2022-03-01,-44.27476828765076
2022-03-02,-44.35150659066492
2022-03-03,-43.39171718665879
2022-03-04,-43.45954078347913
2022-03-07,-41.76677747493909
2022-03-08,-42.34514627326951
2022-03-09,-39.89429188723845
2022-03-10,-45.16460811390881
2022-03-11,-44.556431814212736
2022-03-14,-47.641544132641656
2022-03-15,-47.65956307571317
2022-03-16,-48.24398978151869
2022-03-17,-49.280714307484345
2022-03-18,-47.59572561352839
2022-03-22,-49.30936718523651
2022-03-23,-48.96699361978784
2022-03-24,-47.03786118358512
2022-03-25,-45.00040941055086
2022-03-28,-44.493155909871184
2022-03-29,-45.317282138576466
2022-03-30,-45.54872783765809
2022-03-31,-46.65058033786869
2022-04-01,-46.06062358187649
2022-04-06,-46.65830778381391
2022-04-07,-46.73273840536455
2022-04-08,-47.832701291662914
2022-04-11,-50.31516076573429
2022-04-12,-48.56808994296321
2022-04-13,-47.37349202058097
2022-04-14,-47.334732563926
2022-04-19,-47.77038802622213
2022-04-20,-45.744229747661095
2022-04-21,-45.9550525419352
2022-04-22,-45.38414906053016
2022-04-25,-45.21888628096958
2022-04-26,-43.2749617238228
